name	size	rows	columns	reconColumns
MRR editorial board	13336	45	4	0
MRR editorial board	13480	45	4	0
emdat public 2022 04 04 query uid 275JUX csv	56413096	25486	51	0
emdat public 2022 04 04 query uid 275JUX csv	89959752	25486	51	1
lieux de tournage a paris csv	14546192	10766	14	0
lieux de tournage a paris csv	23711256	11366	16	3
Journal ISSNs	44231632	111563	4	0
sequence of 3000 integers	448696	3000	1	0
sequence of 3000 integers	709288	3000	3	0
FD MAR 2018 csv	342549144	234735	18	0
institutionen gerit xlsx	3304392	1882	22	0
institutionen gerit xlsx	5408416	2011	25	2
